timestamp,gt_x,gt_y,kf_x,kf_y,ekf_x,ekf_y,pf_x,pf_y
1299.171000,-1.999983,-0.500013,-2.000000,-0.500012,-1.999988,-0.500012,-1.219482,-1.009783
1299.371000,-1.999941,-0.500013,-1.998944,-0.498948,-1.999953,-0.500010,-1.184475,-0.804642
1299.571000,-1.999912,-0.500012,-2.007306,-0.496309,-1.999930,-0.500006,-1.079095,-0.839250
1299.771000,-1.999925,-0.500011,-2.014341,-0.496183,-1.999963,-0.500004,-1.100143,-0.835086
1299.971000,-1.999963,-0.500011,-2.019835,-0.496785,-1.999992,-0.500003,-1.052454,-0.845843
1300.171000,-1.999987,-0.500010,-2.023289,-0.498705,-2.000006,-0.500001,-1.087567,-0.846474
1300.371000,-1.999988,-0.500010,-2.025551,-0.498286,-2.000009,-0.500000,-1.081162,-0.851293
1300.571000,-1.999975,-0.500010,-2.026110,-0.493818,-1.999977,-0.499997,-1.115843,-0.837049
1300.771000,-1.999945,-0.500009,-2.029115,-0.491744,-1.999947,-0.499996,-1.067620,-0.845279
1300.971000,-1.999921,-0.500009,-2.035000,-0.490168,-1.999946,-0.499995,-1.068666,-0.813322
1301.171000,-1.999947,-0.500009,-2.039334,-0.491167,-1.999975,-0.499994,-1.061553,-0.843766
1301.371000,-1.999966,-0.500008,-2.046441,-0.489013,-1.999995,-0.499993,-1.038663,-0.855370
1301.571000,-1.999971,-0.500008,-2.048625,-0.486863,-2.000002,-0.499992,-1.017278,-0.870428
1301.771000,-1.999962,-0.500008,-2.055495,-0.484200,-1.999978,-0.499990,-1.127398,-0.811950
1301.971000,-1.999936,-0.500008,-2.058873,-0.483053,-1.999961,-0.499989,-1.126313,-0.827383
1302.171000,-1.999929,-0.500007,-2.062548,-0.483476,-1.999974,-0.499988,-1.053930,-0.865208
1302.371000,-1.999954,-0.500007,-2.068954,-0.481566,-1.999991,-0.499987,-1.044617,-0.856899
1302.571000,-1.999957,-0.500007,-2.073980,-0.481336,-1.999995,-0.499987,-1.079230,-0.822065
1302.771000,-1.999947,-0.500007,-2.078335,-0.482057,-1.999987,-0.499986,-1.142965,-0.838389
1302.971000,-1.999931,-0.500007,-2.088745,-0.479551,-1.999979,-0.499985,-1.067431,-0.841963
1303.171000,-1.999943,-0.500006,-2.094384,-0.478537,-1.999991,-0.499984,-1.082825,-0.835748
1303.371000,-1.999949,-0.500006,-2.097640,-0.476000,-1.999990,-0.499983,-1.061693,-0.837809
1303.571000,-1.999936,-0.500006,-2.097956,-0.476516,-1.999978,-0.499983,-1.094969,-0.833243
1303.771000,-1.999937,-0.500006,-2.101265,-0.472389,-1.999981,-0.499982,-1.084700,-0.831041
1303.971000,-1.999945,-0.500006,-2.108716,-0.471679,-1.999988,-0.499981,-1.024764,-0.859891
1304.171000,-1.998836,-0.500002,-2.114141,-0.471423,-1.999858,-0.499993,-1.110603,-0.815625
1304.371000,-1.997519,-0.499904,-2.119008,-0.480245,-1.999718,-0.497908,-1.085747,-0.830193
1304.571000,-1.996451,-0.499386,-2.123330,-0.467773,-1.999868,-0.494081,-1.093091,-0.822011
1304.771000,-1.996594,-0.499055,-2.133019,-0.482681,-2.000644,-0.490404,-1.119394,-0.834116
1304.971000,-1.997956,-0.498007,-2.144864,-0.508239,-2.002319,-0.485197,-1.086855,-0.838827
1305.171000,-1.998830,-0.497441,-2.165655,-0.494177,-2.006332,-0.479886,-1.002660,-0.846671
1305.371000,-1.998473,-0.497355,-2.221653,-0.427416,-2.009105,-0.477446,-1.040058,-0.844354
1305.571000,-1.997650,-0.496153,-2.233272,-0.402161,-2.006145,-0.473299,-1.066163,-0.828378
1305.771000,-1.989308,-0.481983,-2.264702,-0.390972,-2.004850,-0.469917,-0.973502,-0.837869
1305.971000,-1.981644,-0.457552,-2.280971,-0.387515,-1.995262,-0.446687,-1.011670,-0.808422
1306.171000,-1.976414,-0.421524,-2.285140,-0.384903,-1.988074,-0.417549,-1.049920,-0.761120
1306.371000,-1.978293,-0.380432,-2.195673,-0.342771,-1.988579,-0.350846,-1.024350,-0.714247
1306.571000,-1.987946,-0.342950,-2.242710,-0.342704,-1.996886,-0.320926,-1.023832,-0.678070
1306.771000,-2.005868,-0.306080,-2.294874,-0.328756,-2.012985,-0.287144,-1.059932,-0.639427
1306.971000,-2.036474,-0.267222,-2.280193,-0.308686,-2.031515,-0.260364,-1.315500,-0.526973
1307.171000,-2.063231,-0.243859,-2.261960,-0.291984,-2.055918,-0.235679,-1.380089,-0.480630
1307.371000,-2.092812,-0.224324,-2.223308,-0.263405,-2.106639,-0.201139,-1.436741,-0.449423
1307.571000,-2.126175,-0.207826,-2.144578,-0.207873,-2.136064,-0.187384,-1.568737,-0.413781
1307.771000,-2.160773,-0.194032,-2.115051,-0.195262,-2.167964,-0.172019,-1.619738,-0.372664
1307.971000,-2.208714,-0.177877,-2.088612,-0.189338,-2.199056,-0.156086,-1.776492,-0.363927
1308.171000,-2.239779,-0.167837,-2.071681,-0.191892,-2.228377,-0.138787,-1.783895,-0.364997
1308.371000,-2.272571,-0.157228,-2.086989,-0.241112,-2.259836,-0.120676,-1.839861,-0.338186
1308.571000,-2.312632,-0.143178,-2.022085,-0.240636,-2.324737,-0.087273,-1.880929,-0.370207
1308.771000,-2.353340,-0.127302,-2.036806,-0.233375,-2.357253,-0.070272,-1.940110,-0.354439
1308.971000,-2.392296,-0.110883,-2.058311,-0.247656,-2.391667,-0.052432,-1.987437,-0.328171
1309.171000,-2.440345,-0.087977,-2.006526,-0.220305,-2.422173,-0.035942,-2.020736,-0.305148
1309.371000,-2.474336,-0.070081,-1.994145,-0.219753,-2.452241,-0.018820,-2.052660,-0.276828
1309.571000,-2.508647,-0.051917,-1.952216,-0.206333,-2.482235,-0.003393,-2.101792,-0.247306
1309.771000,-2.546750,-0.032701,-1.943425,-0.191583,-2.545468,0.028911,-2.142064,-0.218103
1309.971000,-2.584584,-0.014956,-1.948789,-0.169266,-2.577219,0.044124,-2.177370,-0.196296
1310.171000,-2.623715,0.002632,-1.924497,-0.155123,-2.608739,0.059425,-2.216161,-0.166005
1310.371000,-2.669516,0.022219,-1.915388,-0.146034,-2.640650,0.074757,-2.251712,-0.137686
1310.571000,-2.703011,0.036454,-1.871672,-0.132714,-2.674854,0.091159,-2.284207,-0.116902
1310.771000,-2.740285,0.052800,-1.879683,-0.135161,-2.739987,0.122380,-2.312753,-0.097532
1310.971000,-2.779647,0.070111,-1.867579,-0.131761,-2.772476,0.137610,-2.345610,-0.070978
1311.171000,-2.818080,0.087308,-1.863592,-0.140924,-2.804816,0.152901,-2.378805,-0.048083
1311.371000,-2.869284,0.110673,-1.847834,-0.136924,-2.836978,0.167935,-2.413932,-0.021727
1311.571000,-2.901347,0.124895,-1.837598,-0.132851,-2.869208,0.182854,-2.453799,-0.000764
1311.771000,-2.934204,0.139174,-1.819802,-0.125450,-2.903065,0.197804,-2.489353,0.021921
1311.971000,-2.971331,0.155182,-1.792029,-0.117250,-2.969685,0.227139,-2.517930,0.039984
1312.171000,-3.010485,0.172042,-1.784150,-0.118260,-3.002834,0.241924,-2.561108,0.062860
1312.371000,-3.050173,0.188996,-1.777379,-0.114108,-3.033317,0.255040,-2.594622,0.083272
1312.571000,-3.098478,0.209163,-1.767986,-0.111866,-3.067706,0.269655,-2.622301,0.105760
1312.771000,-3.132175,0.223131,-1.762335,-0.108959,-3.101799,0.284064,-2.653925,0.122751
1312.971000,-3.165970,0.236839,-1.725008,-0.097087,-3.132401,0.296756,-2.694168,0.149845
1313.171000,-3.205545,0.252819,-1.702666,-0.090780,-3.201615,0.324986,-2.725719,0.171108
1313.371000,-3.245067,0.268660,-1.699355,-0.091625,-3.234441,0.338411,-2.761194,0.186586
1313.571000,-3.284763,0.284455,-1.688216,-0.089936,-3.268010,0.352299,-2.797927,0.208948
1313.771000,-3.333049,0.303286,-1.674394,-0.088735,-3.301927,0.366025,-2.834054,0.226164
1313.971000,-3.366383,0.315828,-1.662904,-0.083149,-3.335271,0.379421,-2.871504,0.244172
1314.171000,-3.404383,0.330295,-1.643652,-0.080319,-3.403356,0.405561,-2.903756,0.257907
1314.371000,-3.445042,0.345961,-1.630567,-0.075221,-3.436532,0.419101,-2.934710,0.280035
1314.571000,-3.485144,0.361610,-1.616834,-0.073295,-3.470807,0.431924,-2.973145,0.307026
1314.771000,-3.537390,0.382244,-1.600880,-0.067644,-3.505716,0.445405,-3.013778,0.332198
1314.971000,-3.571093,0.395670,-1.581875,-0.064394,-3.539519,0.458011,-3.048793,0.356449
1315.171000,-3.605487,0.409665,-1.577275,-0.060450,-3.574284,0.471324,-3.093479,0.386229
1315.371000,-3.643889,0.425669,-1.541235,-0.054470,-3.639851,0.496954,-3.122643,0.405019
1315.571000,-3.683835,0.442347,-1.528030,-0.051626,-3.673772,0.510814,-3.154277,0.423394
1315.771000,-3.722223,0.458594,-1.521959,-0.048337,-3.708327,0.525095,-3.183590,0.442649
1315.971000,-3.772417,0.480389,-1.513388,-0.042042,-3.741684,0.539050,-3.218960,0.456316
1316.171000,-3.805686,0.495346,-1.501974,-0.048424,-3.776270,0.553878,-3.256982,0.485535
1316.371000,-3.840551,0.511093,-1.478877,-0.031331,-3.810560,0.568834,-3.285148,0.508213
1316.571000,-3.880545,0.529350,-1.456700,-0.033643,-3.877877,0.598146,-3.315322,0.541508
1316.771000,-3.919413,0.547390,-1.440448,-0.028592,-3.912054,0.613228,-3.357124,0.565453
1316.971000,-3.957824,0.565129,-1.434578,-0.027177,-3.944576,0.626935,-3.392734,0.583592
1317.171000,-4.003800,0.585980,-1.418008,-0.023713,-3.978881,0.641741,-3.416785,0.603730
1317.371000,-4.037178,0.601059,-1.403111,-0.022329,-4.013136,0.656739,-3.462193,0.634453
1317.571000,-4.072563,0.616864,-1.393208,-0.027980,-4.078365,0.684563,-3.482634,0.647488
1317.771000,-4.112767,0.634815,-1.382899,-0.026697,-4.111825,0.699499,-3.527971,0.667971
1317.971000,-4.152583,0.653310,-1.375818,-0.027571,-4.142448,0.713425,-3.556846,0.704701
