timestamp,gt_x,gt_y,kf_x,kf_y,ekf_x,ekf_y,pf_x,pf_y
1299.171000,-1.999985,-0.500013,-2.000000,-0.500012,-1.999988,-0.500012,-0.922678,-0.698242
1299.471000,-1.999924,-0.500012,-2.002307,-0.497520,-1.999926,-0.500008,-0.951296,-0.659444
1299.771000,-1.999922,-0.500011,-2.018754,-0.494323,-1.999963,-0.500004,-1.375573,-0.763962
1299.971000,-1.999960,-0.500011,-2.026076,-0.493655,-1.999992,-0.500003,-1.494542,-0.722819
1300.171000,-1.999987,-0.500010,-2.029128,-0.494393,-2.000006,-0.500001,-1.493430,-0.731615
1300.371000,-1.999988,-0.500010,-2.029636,-0.494193,-2.000009,-0.500000,-1.529828,-0.702620
1300.671000,-1.999964,-0.500009,-2.034896,-0.492459,-1.999977,-0.499997,-1.678235,-0.673366
1300.971000,-1.999921,-0.500009,-2.042690,-0.490540,-1.999946,-0.499995,-1.679734,-0.633353
1301.171000,-1.999935,-0.500009,-2.048921,-0.491813,-1.999975,-0.499994,-1.754888,-0.607048
1301.371000,-1.999965,-0.500008,-2.055830,-0.490988,-1.999995,-0.499993,-1.756778,-0.608909
1301.571000,-1.999971,-0.500008,-2.059623,-0.488912,-2.000002,-0.499992,-1.785336,-0.627440
1301.871000,-1.999952,-0.500008,-2.062368,-0.486475,-1.999978,-0.499990,-1.797751,-0.606231
1302.171000,-1.999928,-0.500007,-2.070476,-0.490285,-1.999974,-0.499988,-1.810876,-0.609534
1302.371000,-1.999953,-0.500007,-2.076643,-0.487236,-1.999991,-0.499987,-1.867781,-0.583230
1302.571000,-1.999957,-0.500007,-2.079240,-0.488994,-1.999995,-0.499987,-1.855195,-0.594799
1302.871000,-1.999938,-0.500007,-2.085658,-0.484157,-1.999970,-0.499985,-1.833748,-0.598468
1303.171000,-1.999942,-0.500007,-2.095645,-0.484039,-1.999991,-0.499984,-1.861755,-0.590877
1303.371000,-1.999949,-0.500006,-2.101003,-0.483656,-1.999990,-0.499983,-1.807802,-0.609483
1303.571000,-1.999936,-0.500006,-2.102345,-0.482501,-1.999978,-0.499983,-1.804816,-0.619174
1303.771000,-1.999936,-0.500006,-2.107960,-0.478773,-1.999981,-0.499982,-1.839514,-0.590084
1304.071000,-1.999945,-0.500006,-2.113838,-0.478940,-1.999988,-0.499981,-1.795626,-0.600015
1304.371000,-1.998365,-0.499928,-2.120055,-0.469002,-1.999890,-0.497906,-1.804323,-0.589680
1304.571000,-1.997484,-0.499595,-2.124175,-0.474915,-2.000140,-0.494077,-1.634501,-0.657346
1304.771000,-1.997552,-0.499088,-2.131221,-0.470245,-2.000989,-0.490151,-1.594975,-0.677269
1304.971000,-1.998974,-0.498044,-2.136829,-0.449755,-2.002736,-0.485035,-1.620550,-0.671459
1305.271000,-1.995596,-0.495198,-2.158331,-0.423540,-2.007238,-0.478724,-1.742612,-0.613204
1305.571000,-1.992431,-0.491770,-2.144655,-0.525670,-2.003161,-0.473912,-1.841612,-0.584277
1305.771000,-1.981900,-0.473338,-2.141258,-0.544705,-1.990759,-0.455440,-1.771493,-0.592935
1305.971000,-1.973149,-0.447842,-2.166968,-0.539845,-1.979915,-0.428361,-1.787845,-0.558937
1306.271000,-1.967761,-0.400268,-2.156373,-0.486889,-1.969614,-0.368517,-1.801828,-0.519802
1306.571000,-1.978557,-0.337573,-2.174423,-0.424801,-1.981025,-0.300902,-1.806560,-0.441545
1306.771000,-1.994566,-0.301246,-2.223554,-0.381006,-1.992891,-0.272534,-1.807594,-0.415444
1306.971000,-2.025423,-0.258982,-2.250597,-0.367847,-2.010357,-0.245887,-1.811993,-0.375229
1307.171000,-2.050245,-0.235830,-2.242926,-0.343306,-2.032950,-0.221400,-1.834191,-0.347891
1307.471000,-2.092317,-0.207618,-2.278808,-0.261921,-2.081795,-0.185257,-1.856490,-0.317178
1307.771000,-2.144543,-0.182483,-2.446771,-0.339412,-2.142166,-0.151488,-1.861582,-0.335915
1307.971000,-2.179734,-0.168055,-2.437683,-0.335130,-2.172179,-0.133818,-1.923076,-0.342024
1308.171000,-2.225110,-0.150288,-2.380293,-0.270179,-2.202644,-0.114554,-1.912378,-0.351386
1308.371000,-2.257702,-0.137054,-2.358039,-0.244266,-2.235151,-0.095342,-1.940848,-0.306410
1308.671000,-2.314260,-0.112311,-2.439423,-0.279612,-2.288709,-0.065061,-2.002309,-0.221690
1308.971000,-2.373117,-0.088476,-2.563123,-0.355121,-2.351151,-0.037583,-2.083756,-0.169724
1309.171000,-2.425361,-0.069537,-2.558405,-0.333965,-2.385889,-0.024149,-2.117469,-0.156707
1309.371000,-2.458128,-0.058627,-2.599405,-0.339680,-2.418300,-0.009600,-2.153109,-0.137466
1309.671000,-2.509440,-0.041165,-2.611336,-0.342958,-2.483258,0.018378,-2.185585,-0.119579
1309.971000,-2.570655,-0.016218,-2.622010,-0.288320,-2.549656,0.047790,-2.270692,-0.083693
1310.171000,-2.610443,0.002386,-2.643942,-0.286965,-2.583124,0.064080,-2.304384,-0.071958
1310.371000,-2.659019,0.027511,-2.670707,-0.281315,-2.615211,0.079725,-2.349844,-0.050542
1310.571000,-2.691252,0.044902,-2.698696,-0.276252,-2.647810,0.096669,-2.388465,-0.027853
1310.871000,-2.744333,0.073050,-2.733903,-0.296177,-2.712781,0.132379,-2.416854,-0.009864
1311.171000,-2.799484,0.102606,-2.777593,-0.283728,-2.774482,0.166730,-2.490644,0.028894
1311.371000,-2.836883,0.123382,-2.801367,-0.289238,-2.805114,0.184533,-2.531404,0.056855
1311.571000,-2.881695,0.149053,-2.825700,-0.288582,-2.835745,0.202831,-2.563211,0.084780
1311.771000,-2.914195,0.167361,-2.855007,-0.260614,-2.867863,0.221429,-2.608512,0.103857
1312.071000,-2.968298,0.198315,-2.913427,-0.239009,-2.931271,0.258141,-2.648165,0.129963
