timestamp,gt_x,gt_y,kf_x,kf_y,ekf_x,ekf_y,pf_x,pf_y
1299.171000,-1.999984,-0.500013,-2.000000,-0.500012,-1.999988,-0.500012,-0.913387,-0.667138
1299.471000,-1.999923,-0.500012,-2.000331,-0.493964,-1.999926,-0.500008,-1.446704,-0.703313
1299.771000,-1.999923,-0.500011,-2.014980,-0.489333,-1.999963,-0.500004,-1.604069,-0.677787
1299.971000,-1.999961,-0.500011,-2.022993,-0.487356,-1.999992,-0.500003,-1.644521,-0.662268
1300.171000,-1.999987,-0.500010,-2.027267,-0.487937,-2.000006,-0.500001,-1.718467,-0.648920
1300.371000,-1.999988,-0.500010,-2.031366,-0.487145,-2.000009,-0.500000,-1.668759,-0.656015
1300.671000,-1.999964,-0.500009,-2.034137,-0.485278,-1.999977,-0.499997,-1.750852,-0.616126
1300.971000,-1.999921,-0.500009,-2.043438,-0.482167,-1.999946,-0.499995,-1.619177,-0.664246
1301.171000,-1.999935,-0.500009,-2.045970,-0.479446,-1.999975,-0.499994,-1.705554,-0.631946
1301.371000,-1.999965,-0.500008,-2.049443,-0.475928,-1.999995,-0.499993,-1.747769,-0.618197
1301.571000,-1.999971,-0.500008,-2.050570,-0.475567,-2.000002,-0.499992,-1.777000,-0.619747
1301.871000,-1.999952,-0.500008,-2.055601,-0.477705,-1.999978,-0.499990,-1.739565,-0.623988
1301.971000,-1.999937,-0.500008,-2.059508,-0.480695,-1.999961,-0.499989,-1.822584,-0.621564
1302.171000,-1.999928,-0.500007,-2.062561,-0.481590,-1.999974,-0.499988,-1.761582,-0.611765
1302.371000,-1.999954,-0.500007,-2.065962,-0.481349,-1.999991,-0.499987,-1.780957,-0.616987
1302.571000,-1.999957,-0.500007,-2.069733,-0.481333,-1.999995,-0.499987,-1.793442,-0.605315
1302.871000,-1.999938,-0.500007,-2.075094,-0.477300,-1.999970,-0.499985,-1.836917,-0.598427
1303.171000,-1.999942,-0.500007,-2.085689,-0.475718,-1.999991,-0.499984,-1.852099,-0.586344
1303.371000,-1.999949,-0.500006,-2.090632,-0.472192,-1.999990,-0.499983,-1.789953,-0.618703
1303.571000,-1.999936,-0.500006,-2.093613,-0.470953,-1.999978,-0.499983,-1.826379,-0.594963
1303.771000,-1.999937,-0.500006,-2.098569,-0.468399,-1.999981,-0.499982,-1.771959,-0.614454
1304.071000,-1.999944,-0.500006,-2.108602,-0.469949,-1.999988,-0.499981,-1.801995,-0.606013
1304.371000,-1.997957,-0.499982,-2.118214,-0.466415,-1.999584,-0.499159,-1.734441,-0.645399
1304.571000,-1.996873,-0.499687,-2.122237,-0.468412,-1.999613,-0.495297,-1.741454,-0.622370
1304.771000,-1.996555,-0.499166,-2.129534,-0.460502,-2.000115,-0.491444,-1.819567,-0.611702
1304.971000,-1.997443,-0.498322,-2.137893,-0.482663,-2.001326,-0.486664,-1.812472,-0.609184
1305.271000,-1.999097,-0.497269,-2.161150,-0.489902,-2.006414,-0.478322,-1.809804,-0.595683
1305.371000,-1.998990,-0.497219,-2.163761,-0.498316,-2.009909,-0.475996,-1.830059,-0.599542
1305.571000,-1.998654,-0.496985,-2.170934,-0.472973,-2.009582,-0.475008,-1.827567,-0.604865
1305.771000,-1.997103,-0.494653,-2.220731,-0.450811,-2.007049,-0.471695,-1.782179,-0.608663
1305.971000,-1.995099,-0.489619,-2.219816,-0.457802,-2.006196,-0.469921,-1.767816,-0.606287
1306.271000,-1.988101,-0.446335,-2.213967,-0.398051,-1.993946,-0.412736,-1.768178,-0.604657
1306.571000,-1.993946,-0.387201,-2.237797,-0.332476,-2.000921,-0.348245,-1.764353,-0.504302
1306.771000,-2.007998,-0.348281,-2.201631,-0.300966,-2.013705,-0.316276,-1.818927,-0.452213
1306.971000,-2.035263,-0.304692,-2.117485,-0.231038,-2.030712,-0.288533,-1.864623,-0.391940
1307.171000,-2.058558,-0.278732,-2.106329,-0.178755,-2.051617,-0.261931,-1.884015,-0.370744
1307.471000,-2.100929,-0.244123,-2.089608,-0.119331,-2.098864,-0.220544,-1.855947,-0.367915
1307.771000,-2.150292,-0.214928,-1.953753,-0.007857,-2.154525,-0.187478,-1.844534,-0.342195
1307.971000,-2.188220,-0.196102,-1.946918,0.044690,-2.185871,-0.171051,-1.874958,-0.325151
1308.171000,-2.235378,-0.175056,-1.930944,0.072200,-2.217506,-0.154030,-1.848593,-0.311962
1308.371000,-2.268570,-0.161616,-1.869643,0.090058,-2.249355,-0.134897,-1.850176,-0.354992
1308.671000,-2.326696,-0.138796,-1.674547,0.198428,-2.314883,-0.098659,-1.895834,-0.337615
1308.771000,-2.346790,-0.130646,-1.727879,0.219125,-2.347500,-0.079690,-1.965805,-0.351518
1308.971000,-2.385560,-0.114402,-1.776532,0.214628,-2.379309,-0.060611,-2.023985,-0.375850
1309.171000,-2.436258,-0.090793,-1.797113,0.203783,-2.412274,-0.041865,-2.047830,-0.361804
1309.371000,-2.467201,-0.073647,-1.768732,0.255199,-2.443482,-0.024604,-2.078522,-0.332766
1309.671000,-2.521097,-0.039815,-1.746827,0.323480,-2.503287,0.012595,-2.115288,-0.306007
1309.971000,-2.577555,-0.004368,-1.792570,0.391792,-2.565412,0.048166,-2.180788,-0.240797
1310.171000,-2.613739,0.016161,-1.804490,0.417676,-2.595135,0.065035,-2.216271,-0.222166
1310.371000,-2.661099,0.040573,-1.825693,0.441629,-2.627043,0.082485,-2.257611,-0.199464
1310.571000,-2.692644,0.056093,-1.869147,0.460989,-2.656866,0.098310,-2.293847,-0.184413
1310.871000,-2.746484,0.083450,-1.919775,0.529945,-2.721672,0.133054,-2.322028,-0.156762
1311.171000,-2.804154,0.113690,-1.962995,0.569142,-2.786786,0.168831,-2.385881,-0.104852
1311.371000,-2.841814,0.133704,-2.002775,0.580129,-2.818900,0.186750,-2.420096,-0.079123
1311.571000,-2.887770,0.157620,-2.013545,0.602354,-2.851461,0.204475,-2.453522,-0.060505
1311.771000,-2.919630,0.173599,-2.019145,0.628924,-2.883891,0.221678,-2.489291,-0.040190
1312.071000,-2.973978,0.200077,-2.064410,0.666322,-2.945863,0.254193,-2.527445,-0.017388
1312.171000,-2.992333,0.209005,-2.080266,0.688371,-2.977699,0.270529,-2.562489,-0.008132
1312.371000,-3.031344,0.227773,-2.073932,0.722403,-3.010777,0.287458,-2.603336,0.017636
1312.571000,-3.081036,0.251665,-2.059603,0.751059,-3.042978,0.302915,-2.628724,0.040465
1312.771000,-3.114130,0.267969,-2.067229,0.739036,-3.075659,0.320030,-2.664716,0.066194
1313.071000,-3.166780,0.293799,-2.087481,0.772535,-3.140103,0.353262,-2.698375,0.090262
1313.371000,-3.225385,0.322199,-2.080282,0.823498,-3.207074,0.386988,-2.768078,0.148686
1313.571000,-3.264813,0.340675,-2.096797,0.834558,-3.240010,0.403195,-2.811471,0.176319
1313.771000,-3.313381,0.362869,-2.115378,0.857865,-3.272932,0.419151,-2.845678,0.197882
1313.971000,-3.347201,0.377432,-2.137867,0.876235,-3.306193,0.434713,-2.877880,0.225638
1314.271000,-3.402494,0.400409,-2.143373,0.921006,-3.372579,0.465618,-2.912543,0.246936
1314.571000,-3.461195,0.423843,-2.182697,0.952907,-3.438407,0.496122,-2.990418,0.290284
1314.771000,-3.501386,0.440713,-2.197259,0.960505,-3.471648,0.511080,-3.027554,0.316313
1314.971000,-3.547963,0.461339,-2.241186,0.970182,-3.505686,0.526911,-3.069703,0.337977
